gauge_id,q_mean,runoff_ratio,slope_fdc,baseflow_index,stream_elas,q5,q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,hfd_mean,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990,OBJECTID,Join_Count,TARGET_FID,AREA,PERIMETER,PHYSIODD_,PHYSIODD_I,FCODE,FENCODE,DIVISION,PROVINCE,SECTION,PROVCODE,geometry
01634500,0.990485105439823,0.332469035401879,1.49259367705532,0.482440402221566,2.88162335544957,0.0852659103683952,3.39210034726442,14.55,2.34677419354839,106.55,12.3895348837209,0,171.4,"CEDAR CREEK NEAR WINCHESTER, VA",Ref,EastHghlnds,263.9817,02,39.081218,-78.329449,VA,yes,yes,72,60,20,334,1,334,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1505762.0206, 1924409.1627)"
02011400,0.992886458828164,0.301920852489919,1.70320151945236,0.541782728707136,1.9942077424853,0.12601316211254,3.22713707543447,9.4,2.08888888888889,73.75,13.0530973451327,0,171.45,"JACKSON RIVER NEAR BACOVA, VA",Ref,EastHghlnds,407.7162,02,38.042347,-79.881444,VA,yes,yes,35,35,20,348,1,348,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1394499.545, 1786115.8192)"
02011460,1.45813253591016,0.428324970225943,1.78871138734071,0.446487037803338,1.63149965909414,0.0579015576214057,5.07029855927985,13.8,1.95744680851064,111.2,16.4740740740741,0,164.35,"BACK CREEK NEAR SUNRISE, VA",Ref,EastHghlnds,156.3408,02,38.245401,-79.768663,VA,yes,yes,35,35,20,349,1,349,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1400293.7246, 1810204.5815)"
02013000,0.977041522304727,0.32178937423066,1.53626473175612,0.455218847149974,1.60109515532406,0.0863944469683884,3.44425861913975,18.2,2.34838709677419,112.95,18.072,0,168.55,"DUNLAP CREEK NEAR COVINGTON, VA",Ref,EastHghlnds,424.7766,02,37.802902,-80.047004,VA,yes,yes,81,60,20,355,1,355,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1384795.5435, 1757238.7682)"
02014000,1.06566502349611,0.341059346595645,1.73583883431472,0.542675134508477,1.70538034515475,0.141819742798585,3.36667737252292,9.3,2.21428571428571,75.1,12.1129032258065,0,173,"POTTS CREEK NEAR COVINGTON, VA",Ref,EastHghlnds,396.783,02,37.729014,-80.04228,VA,yes,yes,72,51,20,357,1,357,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1386585.7885, 1749142.8745)"
02015700,1.35545952143831,0.424175010789272,1.43730923433701,0.559091949767538,1.62371760230727,0.282880743502717,3.97747469652305,8.15,1.75268817204301,11.9,7,0,171.05,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",Ref,EastHghlnds,285.4062,02,38.195403,-79.570323,VA,yes,yes,49,49,20,358,1,358,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1418198.9698, 1807624.2226)"
02016000,1.15571291620652,0.367497959675417,1.50172248861865,0.49776856329352,1.79524111453413,0.161801069941279,3.84635961202179,12.3,1.95238095238095,74.85,15.2755102040816,0,170.3,"COWPASTURE RIVER NEAR CLIFTON FORGE, VA",Ref,EastHghlnds,1194.551,02,37.791796,-79.759492,VA,yes,yes,84,60,20,359,1,359,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1409723.4469, 1760239.0566)"
02017500,1.1691096871465,0.386444504683533,1.92896199022554,0.511085489851109,1.64859488017618,0.0877099326486805,4.14451580737906,14.5,2.56637168141593,119.65,19.6147540983607,0,171.4,"JOHNS CREEK AT NEW CASTLE, VA",Ref,EastHghlnds,276.1497,02,37.50624,-80.106715,VA,yes,yes,83,60,20,361,1,361,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1385195.4212, 1723585.8241)"
02018000,1.11380313618585,0.364492460019353,1.7493286232998,0.509781835040029,1.33111231201137,0.114816882725147,3.92673738920002,13.2,2.27586206896552,101.65,20.1287128712871,0,170.05,"CRAIG CREEK AT PARR, VA",Ref,EastHghlnds,852.3431,02,37.665962,-79.911439,VA,yes,yes,84,60,20,362,1,362,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1399037.0233, 1744094.0469)"
02027500,1.84530362023873,0.503420057110929,1.72642923773163,0.571559293704684,0.757294270560196,0.12695057152191,5.45490737008205,4.5,1.83673469387755,74.1,13.5963302752294,0,162.4,"PINEY RIVER AT PINEY RIVER, VA",Ref,EastHghlnds,123.3423,02,37.702363,-79.027525,VA,yes,yes,60,60,20,372,1,372,0.782,8.781,226,241,51,5a,APPALACHIAN HIGHLANDS,BLUE RIDGE,NORTHERN,5,"c(1474378.7253, 1761475.2275)"
