site_no,Year,Flashiness,DIVISION,PROVINCE,SECTION,station_nm,DRAIN_SQKM,huc_cd,LAT_GAGE,LNG_GAGE,STATE,alt_va,geometry
01451800,1985,0.3786967450965174,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,1986,0.35540429042904287,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,1987,0.37761838046392276,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,1988,0.3754800057524195,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,1989,0.37380227357097057,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,1990,0.3845280690931524,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,1991,0.23301683451633282,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,1992,0.30997392438070404,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,1993,0.38060357523683835,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,1994,0.2906567630961689,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
